sale_id,date_time,type,weight,destination,postage method,quantity,cost
31,22/01/2016 13:01,parcel,19.65,Croatia,Economy Parcel_By Sea,2,392.3
31,22/01/2016 13:01,letter,0.38,Malaysia,Express Letter,2,73.9
32,1/02/2016 12:31,letter,0.31,Vietnam,Express Letter,3,110.85
32,1/02/2016 12:31,letter,0.47,Sri Lanka,Express Letter,3,116.49
33,22/11/2016 11:11,letter,0.16,Arab Emirates,Economy Letter,3,27
34,24/08/2017 11:16,parcel,10.05,Netherlands,Standard Parcel,2,357.88
35,11/05/2016 11:57,parcel,10.17,United States,Express Parcel,1,162.35
35,11/05/2016 11:57,letter,0.36,Belgium,Express Letter,1,53.04
36,7/09/2016 11:20,parcel,10.27,Argentina,Standard Parcel,3,887.97
36,7/09/2016 11:20,parcel,11.71,Greece,Express Parcel,2,605.7
37,24/06/2016 12:36,parcel,14.88,Nauru,Standard Parcel,2,322.82
37,24/06/2016 12:36,parcel,3.68,Arab Emirates,Express Parcel,1,150.29
37,24/06/2016 12:36,parcel,14.69,Turkey,Express Parcel,3,908.55
38,3/12/2017 13:20,letter,0.17,Nepal,Economy Letter,3,18
39,6/01/2017 10:00,letter,0.43,Denmark,Express Letter,3,159.12
40,5/01/2016 12:01,letter,0.13,Greece,Express Letter,3,159.12
40,5/01/2016 12:01,parcel,10.75,Ireland,Economy Parcel_By Sea,3,432.99
40,5/01/2016 12:01,parcel,10.77,Thailand,Express Parcel,3,475.17
41,25/09/2017 13:13,letter,0.25,Nigeria,Economy Letter,1,9
41,25/09/2017 13:13,parcel,10.23,United Kingdom,Express Parcel,1,179.45
42,2/10/2016 12:38,letter,0.35,Arab Emirates,Express Letter,3,167.04
43,27/10/2017 12:17,letter,0.42,United Kingdom,Express Letter,2,83.16
44,19/12/2016 14:17,letter,0.23,Korea - Republic Of,Express Letter,3,110.85
44,19/12/2016 14:17,letter,0.4,United Kingdom,Economy Letter,2,36
45,12/10/2017 14:26,letter,0.21,Thailand,Express Letter,2,73.9
45,12/10/2017 14:26,letter,0.49,Israel,Economy Letter,1,18
45,12/10/2017 14:26,letter,0.41,Turkey,Express Letter,2,106.08
46,15/08/2017 11:10,parcel,17.81,Malaysia,Standard Parcel,3,534.3
46,15/08/2017 11:10,letter,0.14,Argentina,Express Letter,1,55.68
47,24/03/2016 10:34,letter,0.41,Papua New Guinea,Economy Letter,1,12
47,24/03/2016 10:34,letter,0.25,Argentina,Express Letter,1,55.68
48,11/09/2017 13:22,letter,0.32,Papua New Guinea,Economy Letter,3,36
49,12/11/2016 16:36,parcel,14.01,India,Standard Parcel,3,460.17
49,12/11/2016 16:36,letter,0.13,Sri Lanka,Express Letter,3,116.49
49,12/11/2016 16:36,letter,0.5,Serbia,Express Letter,1,53.04
50,5/11/2016 14:40,letter,0.46,Greece,Express Letter,3,159.12
50,5/11/2016 14:40,letter,0.43,Samoa,Economy Letter,3,36
51,10/03/2017 18:34,letter,0.14,Denmark,Economy Letter,3,27
52,9/02/2016 11:09,parcel,16.16,Serbia,Standard Parcel,2,682.58
52,9/02/2016 11:09,letter,0.11,Arab Emirates,Express Letter,1,55.68
53,16/11/2017 13:04,letter,0.36,New Zealand,Economy Letter,2,22
54,18/12/2016 11:45,letter,0.2,Fiji,Economy Letter,2,12
54,18/12/2016 11:45,letter,0.12,Canada,Express Letter,1,37.88
54,18/12/2016 11:45,letter,0.22,Hong Kong,Express Letter,1,36.95
55,8/10/2017 12:56,parcel,13.52,Malaysia,Express Parcel,1,158.39
55,8/10/2017 12:56,parcel,16.66,India,Standard Parcel,1,178.1
56,19/11/2016 13:10,parcel,5.8,United States,Standard Parcel,3,396.06
57,31/12/2017 10:32,letter,0.38,Indonesia,Economy Letter,3,36
57,31/12/2017 10:32,parcel,10.09,Taiwan - Province Of China,Express Parcel,1,158.39
58,30/03/2017 11:22,parcel,16.82,Chile,Express Parcel,2,762.9
59,8/07/2016 12:51,letter,0.37,Nauru,Express Letter,1,38.83
60,24/12/2016 13:13,letter,0.43,Nepal,Economy Letter,3,36
60,24/12/2016 13:13,letter,0.39,Switzerland,Economy Letter,2,36
60,24/12/2016 13:13,letter,0.19,Mexico,Express Letter,2,111.36
61,10/11/2017 11:25,letter,0.43,Philippines,Economy Letter,1,12
62,12/06/2017 12:49,letter,0.35,Canada,Economy Letter,1,18
62,12/06/2017 12:49,parcel,4.86,South Africa,Economy Parcel_By Sea,1,69.25
63,29/06/2016 12:41,parcel,16.3,Vanuatu,Standard Parcel,3,562.11
63,29/06/2016 12:41,parcel,0.76,Sweden,Standard Parcel,1,43.95
64,21/08/2016 12:04,letter,0.13,Samoa,Economy Letter,2,12
64,21/08/2016 12:04,parcel,14.02,Solomon Islands,Standard Parcel,2,322.82
65,19/04/2016 12:08,letter,0.49,Russian Federation,Economy Letter,2,36
66,27/07/2017 12:53,letter,0.15,Slovenia,Economy Letter,2,18
67,12/09/2016 16:44,letter,0.49,Finland,Express Letter,3,159.12
67,12/09/2016 16:44,parcel,0.6,Tonga,Standard Parcel,2,77.78
67,12/09/2016 16:44,letter,0.37,Turkey,Express Letter,3,159.12
68,15/05/2016 16:07,parcel,4.15,Cyprus,Express Parcel,1,143.14
68,15/05/2016 16:07,letter,0.47,Malta,Express Letter,1,53.04
68,15/05/2016 16:07,letter,0.23,Papua New Guinea,Economy Letter,2,12
69,13/07/2017 13:41,letter,0.24,Cyprus,Express Letter,1,53.04
69,13/07/2017 13:41,letter,0.4,Czech Republic,Express Letter,2,106.08
70,10/01/2017 12:38,parcel,8.91,French Polynesia,Express Parcel,2,280.88
71,29/11/2017 14:53,letter,0.43,Canada,Economy Letter,1,18
72,21/10/2017 12:36,letter,0.41,Japan,Economy Letter,1,12
72,21/10/2017 12:36,letter,0.32,Russian Federation,Express Letter,3,159.12
72,21/10/2017 12:36,letter,0.42,Brazil,Express Letter,1,53.04
73,26/11/2016 15:33,letter,0.41,Singapore,Express Letter,3,110.85
74,9/10/2017 11:39,parcel,13,Brazil,Standard Parcel,1,280.85
74,9/10/2017 11:39,parcel,1.37,Finland,Standard Parcel,1,74.65
75,17/11/2016 13:06,parcel,8.18,Israel,Standard Parcel,1,219.45
75,17/11/2016 13:06,letter,0.41,Myanmar,Express Letter,2,77.66
75,17/11/2016 13:06,letter,0.18,Belgium,Express Letter,3,159.12
76,21/12/2017 13:00,letter,0.46,Brazil,Express Letter,2,106.08
76,21/12/2017 13:00,letter,0.22,Switzerland,Express Letter,1,42.62
76,21/12/2017 13:00,letter,0.28,Poland,Economy Letter,2,36
77,25/07/2016 13:30,letter,0.43,Belgium,Economy Letter,1,18
77,25/07/2016 13:30,letter,0.5,Cambodia,Economy Letter,1,12
77,25/07/2016 13:30,parcel,0.54,Myanmar,Standard Parcel,2,77.78
78,22/08/2016 13:28,letter,0.12,Argentina,Economy Letter,2,18
78,22/08/2016 13:28,letter,0.18,Bahrain,Economy Letter,1,9
78,22/08/2016 13:28,letter,0.29,China,Economy Letter,2,24
79,21/08/2016 11:24,letter,0.49,Estonia,Express Letter,1,53.04
80,25/11/2016 14:46,letter,0.48,Switzerland,Economy Letter,1,18
80,25/11/2016 14:46,letter,0.1,Brazil,Express Letter,3,159.12
80,25/11/2016 14:46,parcel,17.34,Portugal,Express Parcel,1,363.29
81,11/08/2016 11:57,parcel,14.98,Finland,Economy Parcel_By Sea,2,318.24
81,11/08/2016 11:57,letter,0.35,French Polynesia,Economy Letter,2,24
81,11/08/2016 11:57,parcel,19.02,Romania,Express Parcel,2,726.58
82,10/12/2016 13:43,letter,0.1,Norway,Express Letter,3,127.86
83,31/10/2016 15:56,letter,0.29,South Africa,Economy Letter,3,54
83,31/10/2016 15:56,letter,0.11,Cambodia,Economy Letter,1,6
83,31/10/2016 15:56,parcel,14.34,United States,Express Parcel,1,162.35
84,5/06/2016 17:57,letter,0.34,Cambodia,Economy Letter,3,36
85,7/03/2017 11:17,letter,0.26,Brazil,Economy Letter,3,54
86,8/04/2017 14:10,letter,0.23,Serbia,Economy Letter,1,9
86,8/04/2017 14:10,letter,0.29,Mauritius,Express Letter,2,111.36
86,8/04/2017 14:10,letter,0.16,Czech Republic,Economy Letter,1,9
87,25/09/2017 16:44,parcel,13.82,Taiwan - Province Of China,Standard Parcel,3,460.17
87,25/09/2017 16:44,letter,0.38,Lao People'S Democratic Republic,Express Letter,1,38.83
87,25/09/2017 16:44,letter,0.22,Chile,Express Letter,1,55.68
88,24/05/2017 11:13,parcel,12.83,Peru,Express Parcel,1,317.99
88,24/05/2017 11:13,letter,0.42,Nauru,Express Letter,3,116.49
88,24/05/2017 11:13,parcel,8.62,Canada,Standard Parcel,2,264.04
89,18/07/2016 13:20,letter,0.35,Germany,Express Letter,2,85.24
89,18/07/2016 13:20,parcel,10.02,Cook Islands,Standard Parcel,1,161.41
90,10/03/2016 12:11,letter,0.37,Chile,Economy Letter,3,54
90,10/03/2016 12:11,parcel,18.83,Malaysia,Standard Parcel,1,178.1
91,17/12/2016 13:41,parcel,3.17,United Kingdom,Economy Parcel_By Sea,3,189.18
91,17/12/2016 13:41,parcel,4.15,Nauru,Express Parcel,1,110.03
91,17/12/2016 13:41,parcel,2.84,India,Express Parcel,2,162.42
92,27/05/2016 13:06,parcel,14.72,Macedonia - The Former Yugoslav Republic Of,Express Parcel,2,605.7
93,23/05/2017 12:03,parcel,19.28,Spain,Economy Parcel_By Sea,3,560.43
94,22/09/2017 14:14,parcel,6.65,Hong Kong,Standard Parcel,1,128.68
94,22/09/2017 14:14,letter,0.24,Myanmar,Economy Letter,3,18
95,24/05/2017 12:53,letter,0.38,Chile,Economy Letter,2,36
96,17/04/2017 13:27,letter,0.16,Kenya,Economy Letter,2,18
96,17/04/2017 13:27,letter,0.45,Mexico,Express Letter,1,55.68
97,6/01/2017 12:37,letter,0.36,New Caledonia,Express Letter,3,116.49
98,15/11/2017 13:01,letter,0.13,Poland,Economy Letter,2,18
98,15/11/2017 13:01,parcel,1.4,French Polynesia,Express Parcel,2,126.92
98,15/11/2017 13:01,letter,0.3,Saudi Arabia,Express Letter,3,167.04
99,14/07/2016 12:21,letter,0.45,Cook Islands,Express Letter,1,38.83
99,14/07/2016 12:21,letter,0.32,New Caledonia,Express Letter,1,38.83
100,25/03/2016 11:41,letter,0.45,Sweden,Economy Letter,2,36
101,26/03/2016 12:57,letter,0.21,Estonia,Express Letter,2,106.08
102,13/10/2017 13:11,parcel,11.6,New Zealand,Express Parcel,1,106.77
103,16/12/2017 14:12,parcel,2.58,India,Express Parcel,3,243.63
103,16/12/2017 14:12,parcel,12.59,Canada,Economy Parcel_By Sea,1,134.26
103,16/12/2017 14:12,parcel,16.7,Germany,Standard Parcel,3,618.12
104,19/05/2016 14:22,letter,0.41,Canada,Economy Letter,2,36
105,29/05/2016 13:05,parcel,0.59,Italy,Standard Parcel,3,131.85
105,29/05/2016 13:05,parcel,14.38,Vanuatu,Standard Parcel,1,161.41
105,29/05/2016 13:05,letter,0.17,Czech Republic,Express Letter,1,53.04
106,31/10/2017 14:01,letter,0.37,Germany,Express Letter,3,127.86
106,31/10/2017 14:01,letter,0.28,Papua New Guinea,Economy Letter,3,36
107,26/03/2016 12:48,letter,0.42,Portugal,Express Letter,2,106.08
108,6/08/2016 08:17,letter,0.47,Korea - Republic Of,Express Letter,2,73.9
108,6/08/2016 08:17,parcel,7.78,Switzerland,Express Parcel,3,470.52
108,6/08/2016 08:17,letter,0.17,Cambodia,Express Letter,3,116.49
109,10/05/2016 14:20,letter,0.38,Denmark,Express Letter,3,159.12
110,20/04/2016 13:05,letter,0.26,Italy,Economy Letter,2,36
111,18/09/2017 17:26,parcel,5.53,New Caledonia,Express Parcel,3,421.32
111,18/09/2017 17:26,letter,0.27,Arab Emirates,Economy Letter,2,36
112,7/11/2017 12:22,parcel,7.37,Brazil,Economy Parcel_By Sea,3,327.09
113,16/11/2017 14:35,parcel,19.7,Poland,Economy Parcel_By Sea,2,392.3
114,29/10/2017 12:59,parcel,5.34,Turkey,Economy Parcel_By Sea,3,327.09
114,29/10/2017 12:59,letter,0.49,Arab Emirates,Economy Letter,3,54
114,29/10/2017 12:59,parcel,13.26,Cambodia,Standard Parcel,3,484.23
115,4/10/2016 13:10,parcel,12.03,Hungary,Economy Parcel_By Sea,3,477.36
116,1/01/2017 13:55,parcel,6.71,Pakistan,Standard Parcel,1,135.44
116,1/01/2017 13:55,letter,0.26,Cambodia,Economy Letter,1,12
116,1/01/2017 13:55,parcel,6.79,China,Standard Parcel,2,242.84
117,9/03/2016 13:27,letter,0.11,Mauritius,Express Letter,1,55.68
117,9/03/2016 13:27,letter,0.17,Russian Federation,Express Letter,1,53.04
117,9/03/2016 13:27,letter,0.14,Thailand,Express Letter,2,73.9
118,22/05/2017 13:20,letter,0.21,Belgium,Express Letter,2,106.08
118,22/05/2017 13:20,parcel,17.6,Germany,Economy Parcel_By Sea,1,186.81
118,22/05/2017 13:20,letter,0.28,Cambodia,Express Letter,1,38.83
119,12/03/2017 14:33,parcel,6.92,Peru,Standard Parcel,2,438.9
119,12/03/2017 14:33,letter,0.35,Fiji,Economy Letter,1,12
120,31/08/2016 11:36,letter,0.46,Kenya,Economy Letter,3,54
121,27/03/2016 16:17,letter,0.48,Arab Emirates,Express Letter,1,55.68
121,27/03/2016 16:17,letter,0.43,Myanmar,Express Letter,1,38.83
121,27/03/2016 16:17,parcel,1.63,Japan,Express Parcel,1,69.45
122,16/02/2017 14:21,letter,0.21,New Caledonia,Economy Letter,2,12
123,17/09/2016 13:01,parcel,16.3,Switzerland,Economy Parcel_By Sea,1,186.81
123,17/09/2016 13:01,letter,0.27,Bahrain,Express Letter,3,167.04
124,7/04/2017 15:49,parcel,1.52,Papua New Guinea,Express Parcel,2,143.66
125,28/01/2017 12:37,parcel,3.04,Belgium,Express Parcel,1,143.14
126,18/05/2017 12:28,parcel,3.84,Lao People'S Democratic Republic,Express Parcel,1,110.03
127,21/01/2016 12:54,letter,0.1,Canada,Economy Letter,2,18
128,14/05/2016 13:34,letter,0.15,Romania,Economy Letter,2,18
129,4/03/2016 11:39,letter,0.37,Cambodia,Express Letter,3,116.49
130,5/08/2017 11:38,parcel,8.12,Macedonia - The Former Yugoslav Republic Of,Economy Parcel_By Sea,3,327.09
130,5/08/2017 11:38,letter,0.23,Czech Republic,Express Letter,2,106.08
131,20/04/2017 14:22,letter,0.4,Finland,Economy Letter,2,36
132,2/09/2017 13:13,letter,0.34,Portugal,Express Letter,2,106.08
132,2/09/2017 13:13,parcel,5.9,Malta,Economy Parcel_By Sea,2,218.06
132,2/09/2017 13:13,letter,0.26,Lao People'S Democratic Republic,Economy Letter,1,12
133,31/08/2017 13:55,letter,0.27,Canada,Economy Letter,2,36
134,4/12/2017 11:17,letter,0.14,Hong Kong,Express Letter,3,110.85
135,2/09/2016 13:08,letter,0.49,Germany,Express Letter,2,85.24
135,2/09/2016 13:08,letter,0.49,Cyprus,Express Letter,3,159.12
136,23/06/2017 12:58,parcel,10.11,Finland,Standard Parcel,2,561.7
137,17/08/2016 15:33,parcel,13.68,Italy,Standard Parcel,1,178.94
137,17/08/2016 15:33,parcel,0.66,Austria,Express Parcel,1,67.88
137,17/08/2016 15:33,parcel,18.13,Nepal,Express Parcel,1,192.37
138,6/02/2017 14:54,parcel,2.99,Macedonia - The Former Yugoslav Republic Of,Express Parcel,3,346.35
138,6/02/2017 14:54,letter,0.32,Poland,Express Letter,3,159.12
138,6/02/2017 14:54,letter,0.39,Chile,Economy Letter,2,36
139,21/05/2017 15:00,letter,0.43,United Kingdom,Economy Letter,1,18
140,20/10/2017 14:27,parcel,11.95,Mauritius,Economy Parcel_By Sea,1,167.08
141,25/03/2017 14:41,letter,0.39,Vietnam,Express Letter,1,36.95
141,25/03/2017 14:41,letter,0.14,New Zealand,Economy Letter,2,11
142,25/01/2017 13:21,parcel,11.24,Croatia,Standard Parcel,2,561.7
142,25/01/2017 13:21,letter,0.48,Kenya,Express Letter,1,55.68
142,25/01/2017 13:21,letter,0.36,Poland,Economy Letter,2,36
143,26/08/2017 16:52,letter,0.35,Kenya,Express Letter,3,167.04
143,26/08/2017 16:52,letter,0.11,United Kingdom,Express Letter,1,41.58
144,20/04/2017 11:23,parcel,10.19,Pakistan,Standard Parcel,2,322.82
144,20/04/2017 11:23,parcel,16.33,Turkey,Express Parcel,3,1089.87
145,9/04/2016 14:22,letter,0.5,Bahrain,Economy Letter,1,18
145,9/04/2016 14:22,letter,0.41,Portugal,Express Letter,2,106.08
145,9/04/2016 14:22,letter,0.41,Malaysia,Express Letter,2,73.9
146,16/01/2017 13:19,letter,0.26,Brazil,Economy Letter,3,54
147,25/03/2017 11:13,letter,0.4,Croatia,Express Letter,3,159.12
148,28/07/2016 14:14,parcel,16.67,Lao People'S Democratic Republic,Standard Parcel,2,374.74
149,6/05/2017 13:22,parcel,19.48,Hungary,Economy Parcel_By Sea,2,392.3
150,3/03/2017 13:33,letter,0.21,Bahrain,Express Letter,1,55.68
151,6/04/2016 13:28,letter,0.3,Ukraine,Express Letter,2,106.08
152,12/10/2016 14:00,letter,0.38,Kuwait,Express Letter,2,111.36
153,13/02/2016 17:16,letter,0.28,France,Express Letter,3,127.86
154,25/07/2017 08:23,letter,0.36,Cambodia,Express Letter,3,116.49
155,16/07/2016 10:39,letter,0.3,Myanmar,Express Letter,2,77.66
156,25/06/2016 11:37,parcel,7.64,Mexico,Standard Parcel,2,438.9
156,25/06/2016 11:37,letter,0.39,Norway,Economy Letter,1,18
157,20/10/2016 14:23,letter,0.3,Czech Republic,Economy Letter,2,36
158,9/07/2016 17:03,parcel,6.65,Brunei Darussalam,Standard Parcel,2,270.88
158,9/07/2016 17:03,letter,0.22,Italy,Express Letter,2,85.24
159,7/12/2016 09:57,letter,0.16,Arab Emirates,Express Letter,3,167.04
160,1/11/2017 15:14,letter,0.22,Thailand,Economy Letter,2,12
161,24/12/2017 10:56,parcel,12.28,Fiji,Standard Parcel,2,322.82
161,24/12/2017 10:56,parcel,8.72,South Africa,Express Parcel,2,484.82
161,24/12/2017 10:56,letter,0.2,Netherlands,Economy Letter,2,18
162,1/04/2016 10:08,letter,0.13,Netherlands,Economy Letter,2,18
162,1/04/2016 10:08,letter,0.37,Sri Lanka,Express Letter,1,38.83
163,30/01/2016 15:08,letter,0.27,Arab Emirates,Economy Letter,1,18
163,30/01/2016 15:08,letter,0.31,Fiji,Express Letter,1,38.83
164,31/01/2016 14:48,parcel,6.07,Mauritius,Express Parcel,1,254.53
164,31/01/2016 14:48,parcel,12.19,Malaysia,Express Parcel,2,316.78
165,25/10/2017 15:19,letter,0.11,Mexico,Express Letter,2,111.36
166,30/03/2017 13:32,letter,0.5,Serbia,Economy Letter,1,18
166,30/03/2017 13:32,parcel,15.36,Saudi Arabia,Economy Parcel_By Sea,2,411.92
167,8/10/2017 12:20,letter,0.3,Cook Islands,Express Letter,2,77.66
168,30/12/2017 14:00,parcel,13.59,Ukraine,Standard Parcel,3,842.55
169,7/08/2016 16:21,parcel,10.09,Vanuatu,Express Parcel,3,499.23
170,26/03/2016 16:16,letter,0.23,Netherlands,Economy Letter,2,18
171,26/05/2016 14:32,letter,0.11,Cook Islands,Express Letter,3,116.49
171,26/05/2016 14:32,parcel,16.24,Hungary,Economy Parcel_By Sea,3,588.45
172,13/02/2017 14:41,letter,0.42,Spain,Economy Letter,3,54
173,24/08/2017 10:44,letter,0.39,China,Express Letter,3,108.15
174,5/11/2017 15:20,parcel,14.75,Tonga,Express Parcel,2,332.82
174,5/11/2017 15:20,parcel,17.22,Tonga,Express Parcel,3,577.11
175,16/01/2016 10:59,letter,0.49,Serbia,Economy Letter,2,36
176,1/11/2017 09:13,letter,0.35,New Zealand,Economy Letter,3,33
177,23/04/2017 14:22,parcel,6.55,Hungary,Standard Parcel,1,207.86
177,23/04/2017 14:22,letter,0.17,Austria,Express Letter,2,106.08
177,23/04/2017 14:22,letter,0.28,Thailand,Economy Letter,2,24
178,10/03/2016 10:33,letter,0.43,Nigeria,Economy Letter,3,54
178,10/03/2016 10:33,letter,0.34,United States,Economy Letter,1,18
179,22/03/2016 14:17,letter,0.38,Philippines,Express Letter,1,38.83
180,24/05/2016 11:12,parcel,14.12,Estonia,Express Parcel,3,908.55
181,28/04/2016 11:24,letter,0.17,Hong Kong,Economy Letter,3,18
182,2/03/2017 13:24,letter,0.31,Malta,Economy Letter,2,36
183,25/09/2016 14:49,letter,0.12,Kuwait,Economy Letter,3,27
183,25/09/2016 14:49,letter,0.38,Brazil,Economy Letter,2,36
183,25/09/2016 14:49,letter,0.31,Belgium,Express Letter,2,106.08
184,17/05/2016 08:30,letter,0.27,Myanmar,Express Letter,1,38.83
184,17/05/2016 08:30,parcel,15.18,Slovenia,Express Parcel,3,1089.87
185,10/12/2016 10:03,parcel,19.8,Qatar,Standard Parcel,2,718.9
185,10/12/2016 10:03,letter,0.43,Mauritius,Express Letter,2,111.36
185,10/12/2016 10:03,parcel,4.95,Serbia,Economy Parcel_By Sea,3,207.75
186,30/03/2017 13:39,letter,0.28,Russian Federation,Express Letter,2,106.08
186,30/03/2017 13:39,letter,0.48,China,Express Letter,1,36.05
187,7/09/2017 10:59,letter,0.21,Macedonia - The Former Yugoslav Republic Of,Economy Letter,3,27
187,7/09/2017 10:59,letter,0.47,Sweden,Economy Letter,2,36
188,13/09/2017 12:31,letter,0.17,Nauru,Economy Letter,3,18
189,2/05/2017 15:14,letter,0.17,Macedonia - The Former Yugoslav Republic Of,Economy Letter,2,18
190,4/02/2016 10:15,parcel,14.17,Netherlands,Express Parcel,1,183.94
190,4/02/2016 10:15,letter,0.4,Ireland,Economy Letter,3,54
191,2/09/2016 17:11,letter,0.49,Bahrain,Economy Letter,2,36
192,27/09/2016 17:46,letter,0.3,Brunei Darussalam,Economy Letter,2,24
192,27/09/2016 17:46,letter,0.17,Sweden,Economy Letter,3,27
192,27/09/2016 17:46,letter,0.48,South Africa,Economy Letter,3,54
193,24/04/2016 13:05,letter,0.22,Singapore,Express Letter,1,36.95
194,7/05/2016 13:59,letter,0.21,Portugal,Express Letter,3,159.12
194,7/05/2016 13:59,letter,0.22,Samoa,Economy Letter,2,12
194,7/05/2016 13:59,letter,0.33,Bahrain,Express Letter,1,55.68
195,3/10/2017 14:52,letter,0.28,United States,Economy Letter,1,18
195,3/10/2017 14:52,letter,0.36,Malaysia,Express Letter,2,73.9
195,3/10/2017 14:52,parcel,8.7,Spain,Standard Parcel,1,151.84
196,2/02/2017 11:19,letter,0.15,Cyprus,Economy Letter,1,9
197,18/02/2016 16:16,letter,0.48,French Polynesia,Express Letter,1,38.83
197,18/02/2016 16:16,letter,0.28,Netherlands,Express Letter,2,85.24
197,18/02/2016 16:16,letter,0.31,Iran - Islamic Republic Of,Economy Letter,3,54
198,19/03/2016 12:22,parcel,16.06,Solomon Islands,Express Parcel,3,577.11
198,19/03/2016 12:22,letter,0.44,Taiwan - Province Of China,Express Letter,1,36.95
